centroid,nb_destinations,trajets,trajets_ok,nb_station_DRT,DRT,DRT_ok,WALK_to_station_DRT,WALK,somme,inaccessibilite,accessibilite
232,20,None,None,None,None,None,None,None,236869.8264,11843.49132,8.443456181804337e-05
233,0,None,None,None,None,None,None,None,0.0,0.0,0.0
234,0,None,None,None,None,None,None,None,0.0,0.0,0.0
235,0,None,None,None,None,None,None,None,0.0,0.0,0.0
236,0,None,None,None,None,None,None,None,0.0,0.0,0.0
237,0,None,None,None,None,None,None,None,0.0,0.0,0.0
238,0,None,None,None,None,None,None,None,0.0,0.0,0.0
239,0,None,None,None,None,None,None,None,0.0,0.0,0.0
240,19,1,0,0,0,0,0,1,183073.6584,9635.455705263157,0.00010378336329788448
241,27,None,None,None,None,None,None,None,265820.6412,9845.208933333333,0.0001015722476558378
242,44,None,None,None,None,None,None,None,428579.43119999993,9740.441618181816,0.00010266474962832982
243,59,None,None,None,None,None,None,None,553693.8108000001,9384.640861016951,0.00010655708777881104
244,70,None,None,None,None,None,None,None,620001.8976000003,8857.169965714289,0.00011290288025079743
245,90,1,0,0,0,0,0,1,771463.7711999998,8571.819679999999,0.00011666134348733759
246,98,82,0,0,0,0,0,82,776247.2172000001,7920.889971428573,0.00012624843970906023
247,110,None,None,None,None,None,None,None,825637.3176,7505.793796363636,0.00013323041201644445
248,124,None,None,None,None,None,None,None,890978.8691999997,7185.31346129032,0.00013917277309992575
249,137,None,None,None,None,None,None,None,962360.6039999999,7024.529956204379,0.00014235827966207977
250,142,18,0,0,0,0,0,18,980623.9044000002,6905.802143661974,0.00014480577045170384
251,158,139,11,0,0,0,0,139,1115311.3247999996,7058.9324354430355,0.00014166448101684339
252,207,182,14,0,0,0,0,182,1565735.3543999998,7563.938910144927,0.00013220625019310736
253,242,214,13,0,0,0,0,214,1900871.6292,7854.8414429752065,0.0001273100173007727
254,272,238,0,0,0,0,0,238,2148196.1267999993,7897.779877941174,0.00012661786165920393
255,324,290,0,0,0,0,0,290,2592215.239199999,8000.664318518515,0.00012498962088502798
256,357,321,0,0,0,0,0,321,2868157.2456000024,8034.053909243704,0.00012447016304551237
257,380,337,14,0,0,0,0,337,3012715.3319999995,7928.198242105262,0.00012613206298111676
258,400,353,115,0,0,0,0,353,2726991.4655999993,6817.478663999998,0.00014668179385445604
259,401,354,16,0,0,0,0,354,3087795.6780000017,7700.2385985037445,0.00012986610573266039
260,380,287,0,0,0,0,0,287,2974052.1048,7826.452907368421,0.0001277718031189485
261,378,337,152,0,0,0,0,337,2488141.637999999,6582.385285714283,0.0001519206118442041
262,379,336,149,0,0,0,0,336,2542376.2836,6708.116843271769,0.00014907313384128045
263,355,315,140,0,0,0,0,315,2344040.3628,6602.930599436619,0.00015144790406934201
264,351,316,71,0,0,0,0,316,2472114.421200002,7043.061029059835,0.00014198371927688495
265,344,311,15,0,0,0,0,311,2688673.6056000018,7815.9116441860515,0.00012794412802041597
266,332,299,15,0,0,0,0,299,2742182.128800001,8259.584725301207,0.0001210714622173129
267,311,282,18,0,0,0,0,282,2700506.6543999985,8683.301139549834,0.00011516357476597232
268,300,270,0,0,0,0,0,270,2816606.7383999997,9388.689127999998,0.00010651114190347277
269,283,None,None,None,None,None,None,None,2851277.180400002,10075.184383038875,9.9253766678797e-05
270,254,None,None,None,None,None,None,None,2739239.9183999994,10784.409127559053,9.272645243442655e-05
271,151,None,None,None,None,None,None,None,1693470.121199999,11215.033915231781,8.916602549385451e-05
272,65,None,None,None,None,None,None,None,752838.2555999997,11582.127009230764,8.633992695840897e-05
273,4,None,None,None,None,None,None,None,47573.1144,11893.2786,8.408110443154002e-05
274,0,None,None,None,None,None,None,None,0.0,0.0,0.0
275,0,None,None,None,None,None,None,None,0.0,0.0,0.0
276,0,None,None,None,None,None,None,None,0.0,0.0,0.0
277,0,None,None,None,None,None,None,None,0.0,0.0,0.0
278,0,None,None,None,None,None,None,None,0.0,0.0,0.0
279,0,None,None,None,None,None,None,None,0.0,0.0,0.0
280,17,1,0,0,0,0,0,1,170688.4836,10040.499035294119,9.95966432031739e-05
281,25,1,0,0,0,0,0,1,247256.05559999996,9890.242223999998,0.00010110975821940599
282,45,None,None,None,None,None,None,None,463516.05600000004,10300.356800000001,9.708401557507211e-05
283,59,None,None,None,None,None,None,None,577178.1264000001,9782.680108474577,0.00010222147600775744
284,69,1,0,0,0,0,0,1,624021.7644000002,9043.793686956526,0.00011057306641595076
285,83,1,0,0,0,0,0,1,719228.9232000001,8665.408713253013,0.00011540136571637807
286,98,82,0,0,0,0,0,82,817195.7231999997,8338.731869387751,0.00011992231140937528
287,114,None,None,None,None,None,None,None,915486.4199999999,8030.582631578946,0.0001245239661774557
288,123,None,None,None,None,None,None,None,921850.2060000004,7494.717121951222,0.00013342731736613612
289,136,22,0,0,0,0,0,22,974603.3556,7166.201144117647,0.0001395439480261933
290,155,21,0,0,0,0,0,21,1118303.9532000003,7214.864214193551,0.00013860274709435764
291,182,156,13,0,0,0,0,156,1435532.077199999,7887.538885714281,0.00012678225926862635
292,225,196,15,0,0,0,0,196,1827837.8603999997,8123.723823999999,0.00012309625753717648
293,252,225,14,0,0,0,0,225,2056176.5532000007,8159.430766666669,0.00012255756909970386
294,301,271,12,0,0,0,0,271,2406018.662399999,7993.417483056474,0.00012510293652492002
295,343,None,None,None,None,None,None,None,2740174.257599998,7988.846232069965,0.00012517452094467128
296,388,334,0,0,0,0,0,334,3097209.806399999,7982.499501030926,0.00012527404478645464
297,404,337,0,0,0,0,0,337,3211602.418799997,7949.510937623754,0.00012579390202070937
298,411,360,117,0,0,0,0,360,2716487.974799998,6609.459792700725,0.00015129829537723608
299,406,354,117,0,0,0,0,354,2684910.9119999986,6613.081064039406,0.00015121544561699045
300,395,346,152,0,0,0,0,346,2587588.2972000013,6550.856448607598,0.00015265179566139824
301,380,333,160,0,0,0,0,333,2301731.8115999983,6057.1889778947325,0.00016509308255849815
302,377,330,123,0,0,0,0,330,2480206.1171999983,6578.796066843497,0.00015200349575204258
303,380,336,8,0,0,0,0,336,2616246.852000002,6884.8601368421105,0.00014524623305691022
304,366,324,3,0,0,0,0,324,2481095.7060000002,6778.950016393444,0.00014751547032825342
305,361,323,59,0,0,0,0,323,2517400.2396000004,6973.407865927979,0.0001434019089699303
306,345,309,5,0,0,0,0,309,2623819.5948000005,7605.274187826089,0.0001314876985764326
307,330,298,11,0,0,0,0,298,2683461.8483999968,8131.702570909081,0.00012297547669506132
308,318,289,15,0,0,0,0,289,2789775.824400001,8772.8799509434,0.00011398765349484396
309,302,274,1,0,0,0,0,274,2868406.819199998,9498.035825165556,0.00010528492610550555
310,284,None,None,None,None,None,None,None,2917518.2015999993,10272.951414084504,9.734300880942276e-05
311,227,None,None,None,None,None,None,None,2472126.687599999,10890.425936563872,9.182377308518001e-05
312,113,None,None,None,None,None,None,None,1266497.4480000003,11207.942017699117,8.922244587104764e-05
313,40,None,None,None,None,None,None,None,460289.27640000003,11507.23191,8.690187247647118e-05
314,12,None,None,None,None,None,None,None,140640.198,11720.0165,8.53241119583748e-05
315,0,None,None,None,None,None,None,None,0.0,0.0,0.0
316,0,None,None,None,None,None,None,None,0.0,0.0,0.0
317,0,None,None,None,None,None,None,None,0.0,0.0,0.0
318,0,None,None,None,None,None,None,None,0.0,0.0,0.0
319,0,None,None,None,None,None,None,None,0.0,0.0,0.0
320,13,1,0,0,0,0,0,1,133870.80599999998,10297.754307692307,9.710855106078917e-05
321,21,1,0,0,0,0,0,1,215803.51919999992,10276.358057142854,9.731073931439394e-05
322,36,1,0,0,0,0,0,1,371685.3444,10324.5929,9.685611914054257e-05
323,60,1,0,0,0,0,0,1,610512.4223999999,10175.20704,9.827809852604238e-05
324,69,1,0,0,0,0,0,1,657055.2264000003,9522.539513043483,0.00010501400373610964
325,77,1,0,0,0,0,0,1,684589.9488,8890.778555844156,0.00011247608898578091
326,90,74,0,0,0,0,0,74,766077.6252000001,8511.973613333335,0.00011748156719301607
327,115,32,0,0,0,0,0,32,980098.9752,8522.599784347825,0.00011733508850627355
328,125,32,0,0,0,0,0,32,1001044.8431999998,8008.358745599998,0.00012486953091973136
